brand,model,year,price,mileage,exterior_color,interior_color,fuel_type,engine,transmission,city_mpg,hwy_mpg
Kia, Optima LX,2014,8099,77885,Metal Bronze,Beige,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,23,34
Kia, Forte EX,2010,4500,132049,Brown,Beige,Gasoline,4-cylinder,Automatic,25,34
Kia, K900 Luxury,2015,21997,58031,Snow White Pearl,Black,Gasoline,Premium Unleaded V-8 5.0 L/307,8-Speed Automatic w/OD,15,23
Kia, Optima LX,2015,10995,56913,Dark Cherry,Black,Gasoline,2.4L I4 192hp 181ft. lbs.,Automatic,23,34
Kia, Cadenza Premium,2014,11995,83092,Satin Metal,Black,Gasoline,3.3L V6 293hp 255ft. lbs.,Automatic,19,28
Kia, Optima EX,2013,9995,85755,Ebony Black,Beige,Gasoline,2.4L I4 200hp 186ft. lbs.,Automatic,24,35
Kia, Optima SX Turbo,2015,13771,42008,Titanium Silver Gray,Black,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,20,31
Kia, Optima EX,2014,12991,48900,Satin Metal,Gray,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,23,34
Kia, Optima Hybrid,2015,13288,61025,Black,,Hybrid,2.4L I4 16V MPFI DOHC Hybrid,6-Speed Automatic,,
Kia, Optima EX,2016,15295,35925,Sparkling Silver,Black,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,24,35
Kia, Optima EX,2017,16935,35036,Silver,black Leather,Gasoline,2.4L I4 DGI DOHC,automatic,24,34
Kia, Optima S,2019,27645,2319,Snow White Pearl,black,Gasoline,2.4L I4 DGI DOHC,6-Speed Automatic with Sportmatic,24,33
Kia, Optima EX,2016,19922,15366,Snow White Pearl,black,Gasoline,2.4L I4 DGI DOHC,6-Speed Automatic with Sportmatic,24,35
Kia, Optima LX,2015,13495,16526,Snow White Pearl,Black,Gasoline,2.4L I4 DGI DOHC,6-Speed Automatic with Sportmatic,23,34
Kia, Optima EX,2016,20999,17754,Moss,gray,Gasoline,2.4L I4 DGI DOHC,6-Speed Automatic with Sportmatic,24,35
Kia, Optima EX,2016,20999,19615,Ebony Black,gray,Gasoline,2.4L I4 DGI DOHC,6-Speed Automatic with Sportmatic,24,35
Kia, Forte LX,2017,13995,21731,Clear White,black,Gasoline,2.0L I4 DOHC Dual CVVT,6-Speed Automatic,25,34
Kia, Optima EX,2016,16695,22705,Moss,Gray,Gasoline,2.4L I4 DGI DOHC,6-Speed Automatic with Sportmatic,24,35
Kia, Optima Plug-In Hybrid EX,2018,23495,23186,Snow White Pearl,black,Hybrid,2.0L DOHC VVT,6-Speed Automatic with Sportmatic,,
Kia, Forte LX,2016,12494,23235,Steel Blue Metallic,black,Gasoline,1.8L I4 DOHC Dual CVVT,6-Speed Automatic,25,37
Kia, Forte LXS,2019,16291,23298,Deep Sea Blue,black,Gasoline,2.0L I4 DOHC Dual CVVT,IVT,30,40
Kia, Optima LX,2017,15695,23548,Sparkling Silver,black,Gasoline,2.4L I4 DGI DOHC,6-Speed Automatic with Sportmatic,25,36
Kia, Optima SX Turbo,2016,21999,26184,Snow White Pearl,RED,Gasoline,2.0L I4 DGI DOHC Turbocharged,6-Speed Automatic with Sportmatic,22,32
Kia, Optima LX,2016,15999,26340,Platinum Graphite,beige,Gasoline,2.4L I4 DGI DOHC,6-Speed Automatic with Sportmatic,24,35
Kia, Optima LX,2017,15514,26411,Ebony Black,Beige,Gasoline,2.4L I4 DGI DOHC,6-Speed Automatic with Sportmatic,25,36
Kia, K900 Luxury,2016,26495,26614,Aurora Black,black,Gasoline,5.0L V8 DGI DOHC,8-Speed Automatic,,
Kia, Forte LX,2017,13995,27425,Snow White Pearl,black,Gasoline,2.0L I4 DOHC Dual CVVT,6-Speed Automatic,25,34
Kia, Optima LX,2016,16999,29583,Ebony Black,Beige,Gasoline,2.4L I4 DGI DOHC,6-Speed Automatic with Sportmatic,24,35
Kia, Optima LX Turbo,2016,15995,29682,Snow White Pearl,Black,Gasoline,1.6L I4 DOHC,7-Speed Automatic,28,39
