brand,model,year,price,mileage,exterior_color,interior_color,fuel_type,engine,transmission,city_mpg,hwy_mpg
Ford,Fusion SE,2015,9899,104338,Magnetic,Ebony,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,22,31
Ford,Fusion Sport,2017,22988,16134,White,Gray,Gasoline,Twin Turbo Premium Unleaded V-6 2.7 L/164,6-Speed Automatic w/OD,,
Ford,Taurus Limited,2014,12655,79778,Sterling Gray Metallic,Dune,Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,19,29
Ford,Fusion Hybrid Titanium,2018,18446,31392,Black,,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Taurus SEL,2016,13988,62929,White,Charcoal Black / Mayan Gray,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,18,27
Ford,Fusion Hybrid Titanium,2018,16200,43281,Oxford White,Gray,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Taurus SEL,2015,13995,71851,Black,Black,Gasoline,3.5L V6 DOHC 24V,Automatic,19,29
Ford,Focus SE,2012,5322,135571,Red Candy Metallic Tinted Clearcoat,Charcoal Black,E85 Flex Fuel,2.0L I4 16V GDI DOHC Flexible Fuel,6-Speed Automatic with Auto-Shift,26,36
Ford,Fusion Titanium,2014,13590,73614,Black,Tan,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,22,33
Ford,Taurus SEL,2017,18679,11286,Oxford White,Dune,E85 Flex Fuel,3.5L V6,Automatic,17,24
Ford,Fusion S,2016,12219,51194,Shadow Black,Dune,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,22,34
Ford,Fusion Titanium,2018,15465,57965,Charcoal,Black,Gasoline,2.0L I4 Turbocharger,Automatic 6-Speed,21,31
Ford,Focus SE,2016,11900,24043,Magnetic,Black,E85 Flex Fuel,2.0L I4 16V GDI DOHC Flexible Fuel,Automatic,26,36
Ford,Taurus SEL,2015,15900,35168,White,Dune,E85 Flex Fuel,3.5L V6 24V MPFI DOHC Flexible Fuel,6-Speed Automatic,19,29
Ford,Fusion Energi Titanium,2016,14440,45199,Black,TAN,Hybrid,2.0 L,Variable,40,36
Ford,Fusion SE,2018,17427,9648,Blue,Ebony,Gasoline,1.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,20,29
Ford,Fusion SE,2013,9880,65158,Black,,Gasoline,2.5L iVCT,6-Speed Automatic,22,34
Ford,Fusion SE,2015,11818,73337,Deep Impact Blue,Ebony,Gasoline,1.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,22,31
Ford,Fusion Hybrid Titanium,2018,15995,33792,Gray,Black,Hybrid,I4 2.0L Natural Aspiration,CVT,43,41
Ford,Fusion SE,2017,14770,28124,Shadow Black,Dark Earth Gray,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,21,32
Ford,Fusion SE,2017,14490,27680,Ruby Red Metallic Tinted Clearcoat,Ebony,Gasoline,2.5L iVCT,6-Speed Automatic,21,32
Ford,Taurus Limited,2014,11494,101607,Ruby Red Metallic Tinted Clearcoat,Charcoal Black,Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,19,29
