brand,model,year,price,mileage,exterior_color,interior_color,fuel_type,engine,transmission,city_mpg,hwy_mpg
Nissan, Sentra S,2018,14750,39856,Gun Metallic,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic Xtronic CVT,27,35
Nissan, Sentra SV,2018,13374,40170,Gun Metallic,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,29,37
Nissan, Sentra SV,2018,13000,42927,Black,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,29,37
Nissan, Versa 1.6 S,2016,8941,49744,Cloud White,Charcoal,Gasoline,1.6L I4 16V MPFI DOHC,4-Speed Automatic,27,36
Nissan, Maxima 3.5 S,2014,10000,91257,Gun Metallic,Charcoal,Gasoline,Premium Unleaded V-6 3.5 L/213,1-Speed CVT w/OD,19,26
Nissan, Altima 2.5 S,2018,14981,31900,Brilliant Silver,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,38
Nissan, Altima 2.5 SV,2017,14000,42390,Brilliant Silver,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic Xtronic CVT,27,39
Nissan, Sentra SV,2017,11600,64084,Cloud White,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,29,37
Nissan, Altima 2.5 S,2014,11050,64923,Pearl White,Beige,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,38
Nissan, Altima 2.5 S,2014,9995,73669,Brilliant Silver,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,38
Nissan, Sentra SV,2017,15998,14476,Silver,Black,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,29,37
Nissan, Versa 1.6 S,2016,11998,14500,Cloud White,Charcoal,Gasoline,1.6L I4 16V MPFI DOHC,5-Speed Manual,27,36
Nissan, Maxima 3.5 SV,2018,21998,32000,White,Black,Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,21,30
Nissan, Altima 2.5 S,2016,14998,40295,Black,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,39
Nissan, Sentra SV,2013,12599,42102,Aspen White,Black,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,30,39
Nissan, Maxima 3.5 S,2017,18998,51830,Gray,Black,Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,21,30
Nissan, Altima 2.5 S,2016,14599,53988,Brilliant Silver,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,39
